xh,xzqh,xqmc,bz,fbsj
127,深圳市福田区,益田花园,,2月2日24时
128,深圳市福田区,笔架山公园员工宿舍,,2月2日24时
129,深圳市福田区,上步中路盛夏公寓,,2月2日24时
130,深圳市福田区,莲花北村,,2月2日24时
131,深圳市福田区,上沙东村八巷,,2月2日24时
132,深圳市福田区,新洲四街香江西苑,,2月2日24时
133,深圳市南山区,白石洲新堂花园,,2月2日24时
134,深圳市南山区,哈尔滨工业大学（深圳）宿舍楼,,2月2日24时
135,深圳市南山区,南山街道学府花园,,2月2日24时
136,深圳市南山区,沙河街道华侨城东组团小区,,2月2日24时
137,深圳市南山区,蛇口街道豪方泽公寓,,2月2日24时
138,深圳市宝安区,宏发世纪城,,2月2日24时
139,深圳市宝安区,泰华商业城,,2月2日24时
140,深圳市宝安区,新安街道甲岸村,,2月2日24时
141,深圳市宝安区,满京华云著花园,,2月2日24时
142,深圳市宝安区,星曜名城B栋,,2月2日24时
143,深圳市龙岗区,布吉新三村,,2月2日24时
144,深圳市龙岗区,布吉慢城,,2月2日24时
145,深圳市龙岗区,西环路八约1街龙富花园,,2月2日24时
146,深圳市龙岗区,华策中心城,,2月2日24时
147,深圳市龙岗区,金龙豪庭B栋,,2月2日24时
148,深圳市光明区,新陂头村新美一村,,2月2日24时
149,深圳市光明区,宏发上域,,2月2日24时
150,深圳市光明区,薯田埔村福南路华业苑,,2月2日24时
151,深圳市龙华区,南国丽园,,2月2日24时
152,深圳市龙华区,星河丹堤,,2月2日24时
153,深圳市罗湖区,中兴路88号汉庭酒店,,2月2日24时
154,深圳市南山区,西海湾花园,,2月1日24时
155,深圳市南山区,后海雅园,,2月1日24时
156,深圳市南山区,雍景轩赏湖阁,,2月1日24时
157,深圳市南山区,桑泰丹华府三期,,2月1日24时
158,深圳市南山区,佳兆业前海广场,,2月1日24时
159,深圳市南山区,阳光华艺大厦B座,,2月1日24时
160,深圳市龙岗区,回龙埔万科翰邻城,,2月1日24时
161,深圳市龙岗区,大族河山,,2月1日24时
162,深圳市龙岗区,华创云轩B座,,2月1日24时
163,深圳市龙岗区,秀丽山庄,,2月1日24时
164,深圳市龙岗区,中央悦城,,2月1日24时
165,深圳市福田区,福华路维也纳酒店,,2月1日24时
166,深圳市福田区,八卦四路意馨居,,2月1日24时
167,深圳市福田区,景田天健花园,,2月1日24时
168,深圳市龙华区,春华四季园,,2月1日24时
169,深圳市宝安区,万象新天2期,,2月1日24时
170,深圳市南山区,沙河街道沙河东路世纪村,,1月31日12时
171,深圳市南山区,鸿丰大酒店,,1月31日12时
172,深圳市南山区,科技园华润城,,1月31日12时
173,深圳市南山区,华侨城香山美墅,,1月31日12时
174,深圳市南山区,大冲宿禾服务式公寓,,1月31日12时
175,深圳市南山区,锦绣花园,,1月31日12时
176,深圳市南山区,蛇口街道东角头港湾花园,,1月31日12时
177,深圳市南山区,蔚蓝海岸,,1月31日12时
178,深圳市南山区,蛇口街道四海公寓,,1月31日12时
179,深圳市南山区,宝能太古城北区,,1月31日12时
180,深圳市南山区,蓝月湾畔,,1月31日12时
181,深圳市南山区,中洲万豪酒店,,1月31日12时
182,深圳市南山区,南山街道友邻公寓,,1月31日12时
183,深圳市南山区,南山街道现代城华庭,,1月31日12时
184,深圳市南山区,南山街道阳光棕榈园,,1月31日12时
185,深圳市福田区,莲花街道景蜜村,,1月31日12时
186,深圳市福田区,香蜜新村东区,,1月31日12时
187,深圳市福田区,华富街道福莲花园,,1月31日12时
188,深圳市福田区,侨香村,,1月31日12时
189,深圳市福田区,碧华庭居翠园,,1月31日12时
190,深圳市福田区,福华新村,,1月31日12时
191,深圳市福田区,益田花园豪园居,,1月31日12时
192,深圳市福田区,园岭新村,,1月31日12时
193,深圳市福田区,南园街道南园路五邑大厦,,1月31日12时
194,深圳市福田区,梅东三路半山御景,,1月31日12时
195,深圳市龙华区,龙华圆酒店,,1月31日12时
196,深圳市龙华区,观澜湖高尔夫大宅昆士顿区,,1月31日12时
197,深圳市龙华区,民治街道金地梅陇镇,,1月31日12时
198,深圳市龙华区,民治街道梅龙苑,,1月31日12时
199,深圳市龙华区,观湖街道懿花园,,1月31日12时
200,深圳市龙华区,观澜街道华盛峰荟名庭2期,,1月31日12时
201,深圳市龙岗区,嘉霖·龙禧（龙禧雅苑）,,1月31日12时
202,深圳市龙岗区,华浩源,,1月31日12时
203,深圳市龙岗区,龙城街道万象天成,,1月31日12时
204,深圳市龙岗区,布吉街道百合山庄,,1月31日12时
205,深圳市龙岗区,龙岗街道宝能悦澜山,,1月31日12时
206,深圳市宝安区,桃源居,,1月31日12时
207,深圳市宝安区,航城街道南航明珠花园,,1月31日12时
208,深圳市宝安区,新安街道安乐花园,,1月31日12时
209,深圳市宝安区,福永街道星航华府,,1月31日12时
210,深圳市宝安区,西乡我们家公寓（海湾家2号楼）,,1月31日12时
211,深圳市宝安区,明玉路11号花样年·花郡,,1月31日12时
212,深圳市罗湖区,罗湖村五坊,,1月31日12时
213,深圳市罗湖区,田贝二路金翠园,,1月31日12时
214,深圳市罗湖区,红桂路红桂一街50号环保大院,,1月31日12时
215,深圳市罗湖区,长城大酒店,,1月31日12时
216,深圳市坪山区,龙田街道东城大厦维也纳酒店,,1月31日12时
217,深圳市坪山区,龙田街道金茂园酒店,,1月31日12时
218,深圳市坪山区,坪山街道易林源酒店,,1月31日12时
219,深圳市光明区,公明街道振明路南庄合众豪庭后面三巷,,1月31日12时
220,深圳市大鹏新区,万豪酒店,,1月31日12时
221,深圳市福田区,福港路西阳光城市,福港路西28号阳光城市,1月30日12时
222,深圳市福田区,越众小区,,1月30日12时
223,深圳市福田区,沙嘴村一坊,,1月30日12时
224,深圳市福田区,竹子林越海家园依山阁,,1月30日12时
225,深圳市福田区,福保街道明月花园,福保街道明月花园小区,1月30日12时
226,深圳市福田区,华强北街道航苑大厦西座,,1月30日12时
227,深圳市福田区,福保街道红树福苑,福保街道红树福苑小区,1月30日12时
228,深圳市南山区,丽山路西湖林语,丽山路西湖林语小区,1月30日12时
229,深圳市南山区,西丽阳光工业区,,1月30日12时
230,深圳市南山区,蛇口街道海境界,蛇口街道海境界小区,1月30日12时
231,深圳市南山区,南头街道麒麟花园,,1月30日12时
232,深圳市南山区,西丽街道德意名居,,1月30日12时
233,深圳市南山区,海岸明珠,,1月30日12时
234,深圳市南山区,半岛城邦,,1月30日12时
235,深圳市宝安区,石岩街道伊隆达工业园,,1月30日12时
236,深圳市宝安区,宝安大道与裕安一路交汇处卡罗社区,,1月30日12时
237,深圳市宝安区,松岗街道碧头社区华都公寓,,1月30日12时
238,深圳市宝安区,前海铂寓,,1月30日12时
239,深圳市盐田区,沙头角街道上东湾,,1月30日12时
240,深圳市龙华区,龙华街道新华苑2期,,1月30日12时
241,深圳市龙华区,民治街道丰泽湖山庄,,1月30日12时
242,深圳市龙华区,民治街道翔龙御庭,民治街道祥龙御庭小区,1月30日12时
243,深圳市龙华区,金地上塘道1期,金地上塘道一期,1月30日12时
244,深圳市龙华区,观湖街道招商观园,,1月30日12时
245,深圳市龙华区,华业玫瑰四季2期,华业玫瑰四季二期,1月30日12时
246,深圳市龙岗区,坂田街道荔园新村,坂田街道荔园新村区,1月30日12时
247,深圳市龙岗区,平湖特力商厦,平湖街道特力商厦,1月30日12时
248,深圳市龙岗区,中海康城,,1月30日12时
249,深圳市龙岗区,龙城街道东方沁园,龙城街道东方沁园小区,1月30日12时
250,深圳市龙岗区,布澜路尚峰花园,,1月30日12时
251,深圳市坪山区,坪山街道万科金域缇香,坪山街道万科金域缇香小区,1月30日12时
