NO,REGION_CODE,TELPHONE_NUMBER,ORGAN_CODE,ORGAN_POSTCODE,ORGAN_GRADE_CODE,latitude1,ORGAN_TYPE_CODE,ORGAN_NAME,ORGAN_PLACE_CODE,latitude2,longitude2,ORGAN_ADDRESS,longitude1,REGION_NAME,ECONOMY_TYPE_CODE,category,ORGAN_EMAIL
11,,0755-84305909,455835485,518120,1,114.492024,G100,深圳市大鹏新区妇幼保健院,440307010,,,深圳市大鹏新区大鹏办事处鹏新东路149号,22.601096,大鹏新区,11,妇幼保健院,-
12,,0755-84207803,455835274,518119,1,114.4287,A100,深圳市大鹏新区葵涌人民医院,440307009,,,深圳市大鹏新区葵涌办事处葵新北路26号,22.637828,大鹏新区,11,综合医院,-
13,,0755-84401957,455835258,518121,1,114.500833,A527,深圳市大鹏新区南澳人民医院,440307011,,,深圳市大鹏新区南澳办事处人民路6号,22.540364,大鹏新区,11,康复医院,-
14,440304,0755-83923333,455755741,518036,3,114.055577,A100,北京大学深圳医院,440304008,,,深圳市福田区莲花路1120号,22.562208,福田区,11,综合医院,-
15,440304,0755-83548566,455850212,518034,3,114.048841,A210,"广州中医药大学深圳医院(福田)深圳市(原福田区中医院)",440304008,,,深圳市福田区北环大道6001号,22.565023,福田区,11,"中医(综合)医院",-
16,440304,0755-83366388,455755610,518035,3,114.092287,A100,深圳市第二人民医院,440304009,,,深圳市福田区笋岗西路3002号,22.562981,福田区,11,综合医院,-
17,440304,0755-83936132,455755717,518026,2,114.061295,A519,深圳市儿童医院,440304009,,,深圳市福田区莲花街道益田路7019号,22.553288,福田区,11,儿童医院,-
18,440304,0755-83110237,455744313,518049,1,14.065549,A100,深圳市福田区第二人民医院,440304007,,,深圳市福田区上梅林中康路27号、25号,22.572574,福田区,11,综合医院,-
19,440304,0755-82226227,455755661,518025,3,114.100807,G100,深圳市妇幼保健院,440304002,114.055172,22.524318,深圳市福田区红荔路2004号、福强路3012号,22.555649,福田区,11,妇幼保健院,-
20,440304,0755-83334009,455755530,518033,3,114.092,A210,深圳市中医院,440304004,,,深圳市福田区福华路1号,22.542994,福田区,11,"中医(综合)医院",-
21,440304,86913333---8171,590708446,518000,3,114.002421,A100,香港大学深圳医院,440304006,,,深圳市福田区海园一路1号,22.531895,福田区,11,综合医院,-
22,440304,0755-83339603,455744030,518033,3,114.086169,A100,"中山大学附属第八医院(深圳福田)(原福田区人民医院）",440304004,,,深圳市福田区福田街道深南中路3025号,22.544677,福田区,11,综合医院,www.szfthp.com
23,440311,,,,,113.908283,,"中国科学院大学深圳医院(光明)(原公明人民医院)",,113.950593,22.757596,"深圳市光明区马田街道松白路将石段4253号、4221号和光明街道华夏路39号",22.769914,光明区,,综合医院,
24,440311,"156****9315",MB2C08947,518000,-,113.957927,-,"中山大学附属第七医院(深圳)",440306002,,,深圳市光明区新湖街道圳园路628号,22.79233,光明区,11,综合医院,-
25,440307,89911830,PDY71184X,518172,2,114.222281,A210,"北京中医药大学深圳医院(龙岗)(原龙岗区中医院)",440307015,,,深圳市龙岗区体育新城大运路1号,22.713938,龙岗区,11,"中医(综合)医院",-
26,440307,0755-84698083,73307826X,518111,1,114.150359,A100,深圳华侨医院,440307003,,,深圳市龙岗区平湖街道湖新街1号,22.69367,龙岗区,17,综合医院,WWW.SZSLYY.COM
27,440307,0755-61222333-6311,45575559X,518020,2,114.135218,A521,深圳市第三人民医院,440307014,,,深圳市龙岗区布澜路29号,22.6416,龙岗区,11,传染病医院,-
28,440307,0755-28871625,455835506,518112,2,114.1224991,A100,"深圳市龙岗区第二人民医院(原布吉人民医院)",440307014,,,龙岗区布吉街道吉华路175号,22.611731,龙岗区,11,综合医院,-
29,440307,0755-84094010,455835493,518117,1,114.323174,A100,"深圳市龙岗区第六人民医院(原坪地人民医院)",440307006,,,深圳市龙岗区龙岗大道5333号,22.786229,龙岗区,11,综合医院,-
30,440307,0755-28863382,455835303,518115,2,114.219483,A100,"深圳市龙岗区第三人民医院(原横岗人民医院)",440307017,,,深圳市龙岗区横岗街道松柏路278号,22.654438,龙岗区,11,综合医院,-
31,440307,0755-28450631,455835311,518111,2,114.136935,A100,"深圳市龙岗区第五人民医院(原平湖人民医院)",440307003,,,深圳市龙岗区平湖街道双拥街77号,22.704329,龙岗区,11,综合医院,-
32,440307,0755-28933050,G34813532,518172,2,114.241221,G100,深圳市龙岗区妇幼保健院,440307015,,,深圳市龙岗区龙城街道中心城爱龙路6号,22.734524,龙岗区,11,妇幼保健院,szlgfyby@126.com
33,440307,0755-28932833,455849246,518172,3,114.234344,A100,深圳市龙岗区人民医院,440307015,,,深圳市龙岗区龙城街道爱心路53号,22.732691,龙岗区,11,综合医院,-
34,440307,0755-84806933,455835477,518116,3,114.28974,A100,深圳市龙岗中心医院,440307016,,,"深圳市龙岗区龙岗街道龙岗大道(龙岗段)6082号",22.741464,龙岗区,11,综合医院,-
35,440309,,,,,114.039498,,深圳市龙华区人民医院,,,,"深圳市龙华区龙华街道景龙建设路38号、景龙建设路70号(艾柏士楼商办楼首层106号商铺、一楼分隔北侧房屋、二楼房屋及三楼房屋)和景龙建设路74L",22.661759,龙华区,,综合医院,
36,440309,,,,,114.0526,,深圳市龙华区中心医院,,,,"深圳市龙华区福城街道观澜大道西187号,3号楼一楼",22.718857,龙华区,,综合医院,
37,440309,0755-27745118,PDY610213,518109,9,114.030309,A100,深圳市人民医院龙华分院,440309001,,,深圳市龙华区龙观东路101号,22.670885,龙华区,11,综合医院,-
38,440303,0755-82230056,45576818X,518004,2,114.128705,A100,深圳市罗湖区人民医院,440303005,114.132526,22.545907,"深圳市罗湖区南湖街道友谊路47号、深圳市罗湖区春风路2069号",22.54411,罗湖区,11,综合医院,-
39,440303,0755-82238541,455743708,518001,2,114.186209,A210,深圳市罗湖区中医院,440303003,,,深圳市罗湖区仙桐路16号,22.572106,罗湖区,11,"中医(综合)医院",-
40,440303,0755-25533018,455755442,518020,3,114.134149,A100,深圳市人民医院,440303004,,,深圳市罗湖区翠竹街道东门北路1017号大院,22.563688,罗湖区,11,综合医院,szhospital@163.com
41,440305,0755-26553111-25517,455848964,518052,3,113.930084,A100,"华中科技大学协和深圳医院(原深圳市南山区人民医院)",440305001,,,深圳市南山区桃园路89号,22.536536,南山区,11,综合医院,南山医院
42,440305,0755-26528895,455767734,518055,1,113.95605,A100,"南方科技大学医院(原深圳市南山区西丽人民医院)",440305009,,,深圳市南山区西丽留仙大道6019号,22.585561,南山区,11,综合医院,-
43,440305,21839000,MB2C1321X,518000,-,113.993909,-,深圳大学总医院,440305008,,,深圳市南山区桃源街道大学城学苑大道1098号,22.600715,南山区,11,综合医院,-
44,440305,0755-26667715,455850335,518067,2,113.93741,G100,深圳市南山区妇幼保健院,440305001,,,深圳市南山区蛇口湾厦路1号,22.492899,南山区,11,妇幼保健院,-
45,440305,0755-26866176,455850255,518067,3,113.928705,A100,深圳市南山区蛇口人民医院,440305005,,,深圳市南山区工业七路36号,22.502778,南山区,11,综合医院,HTTP://WWW.SKHOSP.COM
46,440310,28328011,PDY711946,518000,1,114.369165,A210,"深圳平乐骨伤科医院(深圳市坪山区中医院)",440310001,,,深圳市坪山区坑梓街道坪山大道坑梓段252号,22.745205,坪山区,11,中西医结合医院,-
47,440310,,,,,114.375566,,深圳市坪山区妇幼保健院,,,,深圳市坪山区坑梓街道龙兴南路6号,22.7526,坪山区,,妇幼保健院,
48,440310,,,,,114.357689,,深圳市坪山区人民医院,,,,深圳市坪山区坪山街道办事处人民街19号,22.693814,坪山区,,综合医院,
49,440308,0755-25552422,455767304,518081,2,114.24009,A100,深圳市盐田区人民医院,440308004,114.260267,22.595866,"深圳市盐田区海山街道梧桐路2010号、盐田街道东海道363号",22.563883,盐田区,11,综合医院,-
